Ⲉⲣϣⲁⲛ	ACOND	ⲉⲣϣⲁⲛ
ϥ	PPERO	ϥ
ϩ︤ⲙ︥ϩⲁⲗ	N	ϩⲙϩⲁⲗ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲛ̄ⲧⲟϥ	PPERI	ⲛⲧⲟϥ
ⲡⲉ	COP	ⲡⲉ
ⲡⲉⲛ	PPOS	ⲡⲉⲛ
ⲁⲣⲭⲱⲛ	N	ⲁⲣⲭⲱⲛ
·	PUNCT	·
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲡⲉⲛ	PPOS	ⲡⲉⲛ
ⲣ̄ⲣⲟ	N	ⲣⲣⲟ
·	PUNCT	·
ⲉⲧⲃⲉ	PREP	ⲉⲧⲃⲉ
Ⲡⲁⲓ̈	PDEM	ⲡⲁⲓ
ⲙ̄ⲡ︤ⲣ︥	N	ⲙⲡⲣ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲛ`	PPERS	ⲛ
ⲁⲡⲟⲧⲁⲥⲥⲉ`	V	ⲁⲡⲟⲧⲁⲥⲥⲉ
ⲉ	CCIRC	ⲉ
ⲧ︤ⲙ︥	NEG	ⲧⲙ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲛ	PPERS	ⲛ
ϥⲓ`	V	ϥⲓ
ϩⲁ	PREP	ϩⲁ
ⲛⲉⲛ	PPOS	ⲛⲉⲛ
ⲉⲣⲏⲩ	N	ⲉⲣⲏⲩ
·	PUNCT	·
ϫⲉ	CONJ	ϫⲉ
ⲛ̄ⲛⲉ	ANEGOPT	ⲛⲛⲉ
ⲡ	ART	ⲡ
ⲛⲟⲩⲧⲉ	N	ⲛⲟⲩⲧⲉ
ϭⲱⲛ︤ⲧ︥	N	ϭⲱⲛⲧ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲛ	PPERO	ⲛ
ϫⲉ	CONJ	ϫⲉ
ⲙ̄ⲡⲁⲧⲉ	N	ⲙⲡⲁⲧⲉ
ⲛ	PREP	ⲛ
ⲱⲥⲕ	V	ⲱⲥⲕ
ⲅⲁⲣ	PTC	ⲅⲁⲣ
ⲛ̄ϥⲓ	ADV	ⲛϥⲓ
ϩⲁ	PREP	ϩⲁ
ⲛⲉⲛ	PPOS	ⲛⲉⲛ
ⲉⲣⲏⲩ`	N	ⲉⲣⲏⲩ
ⲛ̄	PREP	ⲛ
ⲑ	ART	ⲧ
ⲉ	N	ϩⲉ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ϫⲟⲉⲓⲥ	N	ϫⲟⲉⲓⲥ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲡⲉϥ	PPOS	ⲡⲉϥ
ⲭ︤ⲥ︥	NPROP	ⲭⲣⲓⲥⲧⲟⲥ
·	PUNCT	·
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛⲉϥ	PPOS	ⲛⲉϥ
ⲁⲅⲅⲉⲗⲟⲥ`	N	ⲁⲅⲅⲉⲗⲟⲥ
ⲉⲧ	CREL	ⲉⲧ
ⲟⲩⲁⲁⲃ	VSTAT	ⲟⲩⲁⲁⲃ
·	PUNCT	·
ⲉⲧ	CREL	ⲉⲧ
ϥⲓ`	V	ϥⲓ
ϩⲁⲣⲟ	PREP	ϩⲁⲣⲟ
ⲛ`	PPERO	ⲛ
ϫⲓⲛ	PREP	ϫⲓⲛ
ⲧ	ART	ⲧ
ⲁⲣⲭⲏ̂	N	ⲁⲣⲭⲏ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲥⲱⲛ︤ⲧ︥	V	ⲥⲱⲛⲧ
ϣⲁϩⲣⲁⲓ̈	ADV	ϣⲁϩⲣⲁⲓ
ⲉ	PREP	ⲉ
ⲡ	ART	ⲡ
ⲟⲟⲩ	N	ⲟⲟⲩ
ⲛ̄	PREP	ⲛ
ϩⲟⲟⲩ`	N	ϩⲟⲟⲩ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲟⲛ	ADV	ⲟⲛ
ϣⲁ	PREP	ϣⲁ
ⲉⲛⲉϩ	N	ⲉⲛⲉϩ
·	PUNCT	·
Ⲁⲗⲗⲁ	CONJ	ⲁⲗⲗⲁ
ⲙⲁⲣ︥	N	ⲙⲁⲣ
ⲛ︥	PREP	ⲛ
ⲣ̄	V	ⲣ
ϩ︤ⲙ︥ϩⲁⲗ`	N	ϩⲙϩⲁⲗ
ⲛ̄	PREP	ⲛ
ⲛⲉⲛ	PPOS	ⲛⲉⲛ
ⲉⲣⲏⲩ	N	ⲉⲣⲏⲩ
ⲛ̄	PREP	ⲛ
ⲑ	ART	ⲧ
ⲉ	N	ϩⲉ
ⲛ̄	PREP	ⲛ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
·	PUNCT	·
ⲡⲁⲓ̈	PDEM	ⲡⲁⲓ
ⲛ̄	ART	ⲛ
ⲧⲁ	ACONJ_PPERS	ⲧⲁ
ϥ	PPERO	ϥ
ϫⲓ	ADV	ϫⲓ
ⲛ̄	PREP	ⲛ
ⲟⲩ	ART	ⲟⲩ
ⲙⲟⲣⲫⲏ̂	N	ⲙⲟⲣⲫⲏ
ⲛ̄	PREP	ⲛ
ϩ︤ⲙ︥ϩⲁⲗ`	N	ϩⲙϩⲁⲗ
ⲉⲧⲃⲏⲏⲧ︤	PREP	ⲉⲧⲃⲏⲏⲧ
ⲛ︥	PPERO	ⲛ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲛ̄	PREP	ⲛ
ⲑ	ART	ⲧ
ⲉ	N	ϩⲉ
ⲙ̄	PREP	ⲙ
ⲡⲁⲩⲗⲟⲥ`	NPROP	ⲡⲁⲩⲗⲟⲥ
ⲡ	ART	ⲡ
ϩ︤ⲙ︥ϩⲁⲗ	N	ϩⲙϩⲁⲗ
ⲛ̄	PREP	ⲛ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
·	PUNCT	·
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲛ̄	PREP	ⲛ
ⲑ	ART	ⲧ
ⲉ	N	ϩⲉ
ⲛ̄	PREP	ⲛ
ⲛ̄	ART	ⲛ
ⲁⲡⲟⲥⲧⲟⲗⲟⲥ	N	ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
ⲧⲏⲣ	IMOD	ⲧⲏⲣ
ⲟⲩ	ART	ⲟⲩ
·	PUNCT	·
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛⲉ	ART	ⲛⲉ
ⲡⲣⲟⲫⲏⲧⲏⲥ	N	ⲡⲣⲟⲫⲏⲧⲏⲥ
ⲧⲏⲣ	IMOD	ⲧⲏⲣ
ⲟⲩ	ART	ⲟⲩ
·	PUNCT	·
ⲛⲁⲓ̈	PDEM	ⲛⲁⲓ
ⲛ̄	ART	ⲛ
ⲧⲁ	ACONJ_PPERS	ⲧⲁ
ⲩ	PPERS	ⲩ
ϣⲱⲡⲉ	V	ϣⲱⲡⲉ
ⲛ̄	PREP	ⲛ
ϩ︤ⲙ︥ϩⲁⲗ	N	ϩⲙϩⲁⲗ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ϫⲟⲉⲓⲥ	N	ϫⲟⲉⲓⲥ
·	PUNCT	·
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲡⲉ	ART	ⲡⲉ
ϥ	PPERO	ϥ
ⲭ︤ⲥ︥	NPROP	ⲭⲣⲓⲥⲧⲟⲥ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
ⲕⲁⲧⲁ	PREP	ⲕⲁⲧⲁ
ⲛⲉ	ART	ⲛⲉ
ⲅⲣⲁⲫⲏ	N	ⲅⲣⲁⲫⲏ
·	PUNCT	·
ϫⲉ	CONJ	ϫⲉ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲧ︤ⲛ︥ⲛⲟ	V	ⲧⲛⲛⲟ
ⲟⲩ	PPERO	ⲟⲩ
ϣⲁⲣⲱ	V	ϣⲁⲣⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲛ̄	PREP	ⲛ
ⲛ	PPERO	ⲛ
ⲁ	APST	ⲁ
ϩ︤ⲙ︥ϩⲁⲗ	N	ϩⲙϩⲁⲗ
ⲛⲉ	CPRET	ⲛⲉ
ⲡⲣⲟⲫⲏⲧⲏⲥ	N	ⲡⲣⲟⲫⲏⲧⲏⲥ
ⲙ̄	PREP	ⲙ
ⲡⲉ	ART	ⲡⲉ
ϩⲟⲟⲩ	N	ϩⲟⲟⲩ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲛⲁⲩ	V	ⲛⲁⲩ
ⲛ̄	PREP	ⲛ
ϣⲱⲣ︤ⲡ︥`	V	ϣⲱⲣⲡ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲧ︤ⲛ︥ⲛⲟⲟⲩ	V	ⲧⲛⲛⲟⲟⲩ
ⲥⲉ	NUM	ⲥⲉ
·	PUNCT	·
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲙ̄ⲡⲉ	ANEGPST	ⲙⲡⲉ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲥⲱⲧ︤ⲙ︥	V	ⲥⲱⲧⲙ
·	PUNCT	·
Ⲛ̄ⲧ	CREL	ⲛⲧⲁ
ⲁ	APST	ⲁ
ⲛⲉ	ART	ⲛⲉ
ⲡⲣⲟⲫⲏⲧⲏⲥ	N	ⲡⲣⲟⲫⲏⲧⲏⲥ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛ̄	ART	ⲛ
ⲁⲡⲟⲥⲧⲟⲗⲟⲥ`	N	ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
ⲣ̄	V	ⲣ
ϩ︤ⲙ︥ϩⲁⲗ`	N	ϩⲙϩⲁⲗ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ϫⲟⲉⲓⲥ`	N	ϫⲟⲉⲓⲥ
ⲏ̂	CONJ	ⲏ
ⲡⲉϥ	PPOS	ⲡⲉϥ
ⲭ︤ⲥ︥	NPROP	ⲭⲣⲓⲥⲧⲟⲥ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲟ᷍ⲩ	PPERO	ⲟⲩ
ⲉⲓⲙⲏⲧⲓ`	CONJ	ⲉⲓⲙⲏⲧⲓ
ⲉ	CCIRC	ⲉ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲩ	PPERS	ⲩ
ⲥⲟⲧⲡ︤	VSTAT	ⲥⲟⲧⲡ
ⲥ︥	PPERS	ⲥ
ⲛⲁ	FUT	ⲛⲁ
ⲩ	PPERS	ⲩ
ⲉ	PREP	ⲉ
ϣ︤ⲡ︥	V	ϣⲡ
ϩⲓⲥⲉ`	N	ϩⲓⲥⲉ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ϩⲉⲛ	ART	ϩⲉⲛ
ⲕⲟⲟⲩⲉ	N	ⲕⲟⲟⲩⲉ
·	PUNCT	·
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲛ̄	ACONJ	ⲛ
ⲥⲉ	PPERS	ⲥⲉ
ⲙⲟⲩ	V	ⲙⲟⲩ
ϩⲁ	PREP	ϩⲁ
ⲡ	ART	ⲡ
ⲣⲁⲛ	N	ⲣⲁⲛ
ⲛ̄	PREP	ⲛ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
ⲉⲧⲃⲉ	PREP	ⲉⲧⲃⲉ
ⲡⲁⲓ̈	PDEM	ⲡⲁⲓ
ⲛ̄ⲧⲉⲣⲉ	APREC	ⲛⲧⲉⲣⲉ
ϥ	PPERO	ϥ
ϣ︤ⲣ︥ⲡ	V	ϣⲣⲡ
ⲉⲓⲙⲉ	V	ⲉⲓⲙⲉ
ⲛ̄ϭⲓ	PTC	ⲛϭⲓ
ⲡ	ART	ⲡ
ϫⲟⲉⲓⲥ	N	ϫⲟⲉⲓⲥ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
ϫⲉ	CONJ	ϫⲉ
ⲛⲉ	CPRET	ⲛⲉ
ⲛ	PREP	ⲛ
ⲉⲓⲟⲧⲉ	N	ⲉⲓⲟⲧⲉ
ⲛ̄	PREP	ⲛ
ⲁⲡⲟⲥⲧⲟⲗⲟⲥ	N	ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
ⲥⲉ	V	ⲥⲉ
ⲛⲁ	PREP	ⲛⲁ
ⲉⲓⲣⲉ	V	ⲉⲓⲣⲉ
ⲛ̄	PREP	ⲛ
ϩⲱⲃ`	N	ϩⲱⲃ
ⲛⲓⲙ`	PINT	ⲛⲓⲙ
ⲛ̄	ART	ⲛ
ⲧⲁ	ACONJ_PPERS	ⲧⲁ
ϥ	PPERO	ϥ
ϩⲱⲛ	V	ϩⲱⲛ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲟⲩ	PPERO	ⲟⲩ
ⲉ	PREP	ⲉ
ⲧⲟⲟⲧ	N	ⲧⲟⲟⲧ
ⲟⲩ`	PPERO	ⲟⲩ
·	PUNCT	·
ⲉ	PREP	ⲉ
ϥ	PPERO	ϥ
ⲛⲁ	PREP	ⲛⲁ
ⲃⲱⲕ	V	ⲃⲱⲕ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ϩⲓ	PREP	ϩⲓ
ⲧⲟⲟⲧ	N	ⲧⲟⲟⲧ
ⲟⲩ`	ART	ⲟⲩ
ⲉ	CREL	ⲉ
ϩⲣⲁⲓ̈	ADV	ϩⲣⲁⲓ
ⲉ	CCIRC	ⲉ
ⲙ̄	PREP	ⲙ
ⲡⲏⲩⲉ	N	ⲡⲏⲩⲉ
ⲕⲁⲧⲁ	PREP	ⲕⲁⲧⲁ
ⲛⲉ	ART	ⲛⲉ
ⲅⲣⲁⲫⲏ̂`	N	ⲅⲣⲁⲫⲏ
·	PUNCT	·
Ⲁ̣ⲩⲱ	CONJ	ⲁⲩⲱ
ⲛ̄	PREP	ⲛ
ⲑ	ART	ⲧ
ⲉ	N	ϩⲉ
ⲟⲛ`	ADV	ⲟⲛ
ⲛ̄ⲧ	CREL	ⲛⲧ
ⲁ	APST	ⲁ
ⲩ	PPERS	ⲩ
ϫⲱⲕ	V	ϫⲱⲕ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ⲛ̄	PREP	ⲛ
ⲛⲉ	ART	ⲛⲉ
ⲛⲧ	CREL	ⲛⲧ
ⲁ	APST	ⲁ
ϥ	PPERS	ϥ
ⲟⲩⲉϩ	V	ⲟⲩⲉϩ
ⲥⲁϩⲛⲉ`	N	ⲥⲁϩⲛⲉ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲟⲩ	ART	ⲟⲩ
ⲛⲁ	FUT	ⲛⲁ
ⲩ	PPERS	ⲩ
ϫⲓⲛ	PREP	ϫⲓⲛ
ⲛ̄	ART	ⲛ
ϣⲟⲣ︤ⲡ︥	N	ϣⲟⲣⲡ
ⲉ	PREP	ⲉ
ϥ	PPERO	ϥ
ϣⲟⲟⲡ	VSTAT	ϣⲟⲟⲡ
ⲛ︤ⲙ︥ⲙⲁ	PREP	ⲛⲙⲙⲁ
ⲩ`	PPERS	ⲩ
ⲛ̄ϭⲓ	PTC	ⲛϭⲓ
ⲡ	ART	ⲡ
ϫⲟⲉⲓⲥ	N	ϫⲟⲉⲓⲥ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲉⲟⲟⲩ	N	ⲉⲟⲟⲩ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
·	PUNCT	·
ⲉⲧⲃⲉ	PREP	ⲉⲧⲃⲉ
ⲡⲁⲓ̈	PDEM	ⲡⲁⲓ
ⲡⲉϫⲁ	VBD	ⲡⲉϫⲁ
ϥ	PPERO	ϥ
ⲛⲁⲩ	V	ⲛⲁⲩ
ϫⲉ	CONJ	ϫⲉ
ϯ	PPERS	ϯ
ⲛⲁ	FUT	ⲛⲁ
ⲙⲟⲩⲧⲉ	V	ⲙⲟⲩⲧⲉ
ϭⲉ	ART	ϭⲉ
ⲁⲛ	NEG	ⲁⲛ
ⲉⲣⲱ	PREP	ⲉⲣⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ϫⲓⲛ	ADV	ϫⲓⲛ
ⲧⲉⲛⲟⲩ`	ADV	ⲧⲉⲛⲟⲩ
ϫⲉ	CONJ	ϫⲉ
ⲛⲁ	PREP	ⲛⲁ
ϩ︤ⲙ︥ϩⲁⲗ`	N	ϩⲙϩⲁⲗ
·	PUNCT	·
ϫⲉ	CONJ	ϫⲉ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ϩ︤ⲙ︥ϩⲁⲗ`	N	ϩⲙϩⲁⲗ
ⲥⲟⲟⲩⲛ`	V	ⲥⲟⲟⲩⲛ
ⲁⲛ	NEG	ⲁⲛ
ϫⲉ	CONJ	ϫⲉ
ⲟ᷍ⲩ	ART	ⲟⲩ
ⲡ	ART	ⲡ
ⲉⲧⲉⲣⲉ	N	ⲉⲧⲉⲣⲉ
ⲡⲉ	COP	ⲡⲉ
ϥ	PPERO	ϥ
ϫⲟⲉⲓⲥ`	N	ϫⲟⲉⲓⲥ
ⲉⲓⲣⲉ`	V	ⲉⲓⲣⲉ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ϥ	PPERO	ϥ
·	PUNCT	·
ⲁⲗⲗⲁ	CONJ	ⲁⲗⲗⲁ
ⲉ	CCIRC	ⲉ
ⲓ̈	PPERS	ⲓ
ⲛⲁ	FUT	ⲛⲁ
ⲙⲟⲩⲧⲉ	V	ⲙⲟⲩⲧⲉ
ⲉⲣⲱ	PREP	ⲉⲣⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ϫⲉ	CONJ	ϫⲉ
ⲛ	PREP	ⲛ
ⲁ	APST	ⲁ
ⲥⲛⲏⲩ`	N	ⲥⲛⲏⲩ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲛ	PREP	ⲛ
ⲁ	APST	ⲁ
ϣⲃⲉⲉⲣ`	N	ϣⲃⲉⲉⲣ
·	PUNCT	·
ϫⲉ	CONJ	ϫⲉ
ⲛ	ART	ⲛ
ⲉⲛⲧ	CREL	ⲉⲛⲧ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲥⲟⲧⲙ	V	ⲥⲟⲧⲙ
ⲟⲩ`	PPERO	ⲟⲩ
ⲧⲏⲣ	IMOD	ⲧⲏⲣ
ⲟⲩ	ART	ⲟⲩ
ⲛ̄ⲧⲉ	PREP	ⲛⲧⲉ
ⲡ	ART	ⲡ
ⲁ	APST	ⲁ
ⲓ̈ⲱⲧ`	N	ⲉⲓⲱⲧ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲧⲁⲙⲱ	V	ⲧⲁⲙⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲟⲩ	PPERO	ⲟⲩ
·	PUNCT	·
ⲛ̄ⲧⲱⲧ︤ⲛ︥	PPERI	ⲛⲧⲱⲧⲛ
ⲁⲛ	NEG	ⲁⲛ
ⲡⲉϫⲁ	VBD	ⲡⲉϫⲁ
ϥ	PPERO	ϥ
ⲁ	APST	ⲁ
ⲧⲉⲧ︤ⲛ︥	PPERS	ⲧⲉⲧⲛ
ⲥⲟⲧⲡ︤	VSTAT	ⲥⲟⲧⲡ
ⲧ︥	ART	ⲧ
·	PUNCT	·
ⲁⲗⲗⲁ	CONJ	ⲁⲗⲗⲁ
ⲁⲛⲟⲕ	PPERI	ⲁⲛⲟⲕ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲥⲉⲧ︤ⲡ︥	V	ⲥⲉⲧⲡ
ⲧⲏⲩⲧ︤ⲛ︥	PPERO	ⲧⲏⲩⲧⲛ
·	PUNCT	·
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ϯ	PPERS	ϯ
ϫⲟⲟ	V	ϫⲟⲟ
ⲩ`	PPERS	ⲩ
ⲙ̄ⲙⲱ	PREP	ⲙⲙⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲛ̄	PREP	ⲛ
ⲑ	ART	ⲧ
ⲉ	N	ϩⲉ
ⲛ̄	PREP	ⲛ
ϩⲉⲛ	ART	ϩⲉⲛ
ⲉⲥⲟⲟⲩ`	N	ⲉⲥⲟⲟⲩ
ⲛ̄	PREP	ⲛ
ⲧ	ART	ⲧ
ⲙⲏⲧⲉ	N	ⲙⲏⲧⲉ
ⲛ̄	PREP	ⲛ
ϩⲉⲛ	ART	ϩⲉⲛ
ⲟⲩⲱⲛ︤ϣ︥	N	ⲟⲩⲱⲛϣ
ⲙ̄ⲡ︤ⲣ︥	N	ⲙⲡⲣ
ⲣ̄	V	ⲣ
ϩⲟⲧⲉ`	N	ϩⲟⲧⲉ
ϩⲏⲧ	N	ϩⲏⲧ
ⲟⲩ	PPERO	ⲟⲩ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲛⲁ	FUT	ⲛⲁ
ⲙⲟⲩⲟⲩⲧ`	V	ⲙⲟⲩⲟⲩⲧ
ⲙ̄	PREP	ⲙ
ⲡⲉ	ART	ⲡⲉ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲥⲱⲙⲁ`	N	ⲥⲱⲙⲁ
·	PUNCT	·
ⲉϣϫⲉ	CONJ	ⲉϣϫⲉ
ⲁ	APST	ⲁ
ⲩ	PPERS	ⲩ
ⲡⲱⲧ`	V	ⲡⲱⲧ
ⲛ̄	PREP	ⲛ
ⲥⲱ	V	ⲥⲱ
ⲉⲓ̂	V	ⲉⲓ
ⲥⲉ	NUM	ⲥⲉ
ⲛⲁ	FUT	ⲛⲁ
ⲡⲱⲧ`	V	ⲡⲱⲧ
ⲛ̄	PREP	ⲛ
ⲥⲁ	N	ⲥⲁ
ⲧⲏⲩⲧ︤ⲛ︥	PPERO	ⲧⲏⲩⲧⲛ
·	PUNCT	·
ⲉϣϫⲉ	CONJ	ⲉϣϫⲉ
ⲁ	APST	ⲁ
ⲩ	PPERS	ⲩ
ϩⲁⲣⲉϩ`	V	ϩⲁⲣⲉϩ
ⲉ	PREP	ⲉ
ⲡ	ART	ⲡ
ⲁ	APST	ⲁ
ϣⲁϫⲉ`	V	ϣⲁϫⲉ
ⲥⲉ	NUM	ⲥⲉ
ⲛⲁ	PREP	ⲛⲁ
ϩⲁⲣⲉϩ`	V	ϩⲁⲣⲉϩ
ⲟⲛ	ADV	ⲟⲛ
ⲉ	PREP	ⲉ
ⲡⲱ	N	ⲡⲱ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
·	PUNCT	·
ⲉϣϫⲉ	CONJ	ⲉϣϫⲉ
ⲁ	APST	ⲁ
ⲩ	PPERS	ⲩ
ⲙⲟⲩⲧⲉ`	V	ⲙⲟⲩⲧⲉ
ⲉ	PREP	ⲉ
ⲡ	ART	ⲡ
ϫⲟⲉⲓⲥ	N	ϫⲟⲉⲓⲥ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲏ̈ⲓ	N	ⲏⲓ
ϫⲉ	CONJ	ϫⲉ
ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ`	N	ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ
·	PUNCT	·
ⲉⲓ̈ⲉ	PTC	ⲉⲓⲉ
ⲉ	CCIRC	ⲉ
ⲩ	PPERS	ⲩ
ⲛⲁ	FUT	ⲛⲁ
ⲛⲟϭⲛⲉϭ	V	ⲛⲟϭⲛⲉϭ
ⲛ̄	PREP	ⲛ
ⲟⲩⲏⲣ	N	ⲟⲩⲏⲣ
ⲛ̄	PREP	ⲛ
ⲛⲉϥ	PPOS	ⲛⲉϥ
ⲣ︤ⲙ︥ⲛ̄	N	ⲣⲙⲛ
ⲏⲓ̈	N	ⲏⲓ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲟⲩ	ART	ⲟⲩ
ⲕⲱⲙ︤ϣ︥	V	ⲕⲱⲙϣ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲟⲩ	ART	ⲟⲩ
ⲥⲱϣ︤ϥ︥	V	ⲥⲱϣϥ
·	PUNCT	·
Ⲁ	APST	ⲁ
ⲛⲁⲩ	V	ⲛⲁⲩ
ⲧⲉⲛⲟⲩ	ADV	ⲧⲉⲛⲟⲩ
ⲛⲉ	CPRET	ⲛⲉ
ⲥⲛⲏⲩ	N	ⲥⲛⲏⲩ
ϫⲉ	CONJ	ϫⲉ
ⲧ︤ⲛ︥	PPERO	ⲧⲛ
ⲧϭⲁⲓⲏⲩ	V	ⲧϭⲁⲓⲏⲩ
ⲛ̄	PREP	ⲛ
ⲟⲩⲏⲣ`	N	ⲟⲩⲏⲣ
ϫⲉ	CONJ	ϫⲉ
ⲁ	APST	ⲁ
ⲛⲉⲛ	PPOS	ⲛⲉⲛ
ⲉⲓⲟⲧⲉ`	N	ⲉⲓⲟⲧⲉ
ⲛⲉ	CPRET	ⲛⲉ
ⲡⲣⲟⲫⲏⲧⲏⲥ`	N	ⲡⲣⲟⲫⲏⲧⲏⲥ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛ̄	ART	ⲛ
ⲁⲡⲟⲥⲧⲟⲗⲟⲥ`	N	ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
ϫⲱⲕ	V	ϫⲱⲕ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ⲛ̄	PREP	ⲛ
ϩⲉⲛ	ART	ϩⲉⲛ
ⲛⲟϭ	N	ⲛⲟϭ
ⲛ̄	PREP	ⲛ
ϩⲓⲥⲉ	N	ϩⲓⲥⲉ
,	PUNCT	,
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲟⲩ	ART	ⲟⲩ
ⲙ︤ⲛ︥ⲧϩ︤ⲙ︥ϩⲁⲗ	N	ⲙⲛⲧϩⲙϩⲁⲗ
ⲉ	CREL	ⲉ
ⲛⲁϣⲱ	VBD	ⲛⲁϣⲱ
ⲥ`	PPERS	ⲥ
·	PUNCT	·
ⲛ̄	PREP	ⲛ
ⲧ	ART	ⲧ
ⲙⲏⲧⲉ`	N	ⲙⲏⲧⲉ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲑ	CREL	ⲉⲧ
ⲟⲟⲩ	N	ϩⲟⲟⲩ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲛⲁⲛⲟⲩ	VBD	ⲛⲁⲛⲟⲩ
ⲟⲩ	ART	ⲟⲩ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲛ̄	PREP	ⲛ
ⲧ	ART	ⲧ
ⲙⲏⲧⲉ`	N	ⲙⲏⲧⲉ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲙⲟⲥⲧⲉ`	V	ⲙⲟⲥⲧⲉ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲟⲩ	PPERO	ⲟⲩ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
